BILL DATE,CUSTOMER,mat,QUANTITY,region,MATERIAL description
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
08-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,27,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
